subset,ratio
af-en,0.8974
am-en,1.5979
an-en,0.8644
as-en,0.882
az-en,0.9649
be-en,0.8317
bg-en,1.0536
bn-en,1.0188
br-en,0.7396
ca-en,0.9259
cs-en,1.0657
cy-en,0.8226
da-en,1.0792
de-en,0.9572
dz-en,0.778
ar-en,1.1995
el-en,0.954
en-eo,0.9426
en-es,1.0351
en-et,0.9001
en-eu,1.0101
en-fa,0.9143
en-fi,0.8147
en-fr,1.1071
en-fy,1.0849
en-ga,1.0678
en-gd,1.2187
en-gl,0.9589
en-gu,1.0051
en-ha,1.0439
en-he,0.7378
en-hi,1.0255
en-hr,0.8219
en-hu,0.9165
en-hy,1.0041
en-id,1.1181
en-ig,1.0034
en-is,0.8447
en-it,1.0505
en-ja,0.3574
en-ka,0.7993
en-kk,0.9569
en-km,1.203
en-kn,1.1315
en-ko,0.4525
en-ku,1.5683
en-ky,1.0156
en-li,1.0917
en-lt,0.9648
en-lv,0.9564
en-mg,1.2453
en-mk,0.8937
en-ml,1.2097
en-mn,0.9115
en-mr,0.9761
en-ms,1.1059
en-mt,1.1236
en-my,1.0424
en-nb,1.0383
en-nl,0.9563
en-nn,0.999
en-no,0.7678
en-oc,0.8378
en-or,1.025
en-pa,0.8915
en-pl,0.8793
en-ps,0.7902
en-pt,0.9914
en-ru,1.0016
en-rw,0.6634
en-si,0.9065
en-sk,0.9154
en-sl,0.8051
en-sq,0.9735
en-sr,0.8336
en-sv,0.8545
en-ta,1.372
en-te,1.0291
en-tg,0.9109
en-th,0.7981
en-tk,0.8269
en-tr,0.9121
en-tt,1.454
en-ug,1.3926
en-uk,0.9225
en-ur,0.9869
en-uz,1.3197
en-vi,0.9558
en-wa,1.0998
en-xh,1.1001
en-yi,1.0444
en-yo,1.2624
en-zh,0.3252
en-zu,1.0505
en-ne,1.0251
en-ro,0.9597
en-sh,0.9717
en-se,0.7925
